id,from_node,to_node,length
0,forks-0,consumers-0,20.000000
1,producers-0,forks-0,30.000000
2,producers-0,forks-2,10.000000
3,forks-2,forks-1,10.000000
4,forks-1,forks-0,22.360680
5,forks-0,consumers-1,10.000000
6,forks-1,consumers-1,20.000000
7,forks-1,forks-7,30.000000
8,forks-2,forks-7,31.622777
9,forks-6,forks-7,20.000000
10,forks-7,consumers-4,20.000000
11,forks-6,consumers-4,28.284271
12,forks-8,consumers-4,20.000000
13,forks-6,forks-8,20.000000
14,forks-3,consumers-1,10.000000
15,forks-4,consumers-1,14.142136
16,forks-4,forks-3,10.000000
17,forks-3,consumers-3,22.360680
18,forks-3,forks-6,20.000000
19,forks-6,consumers-3,10.000000
20,forks-4,consumers-2,14.142136
21,forks-5,consumers-2,10.000000
22,forks-5,forks-4,10.000000
23,forks-5,consumers-3,22.360680
24,forks-4,consumers-3,20.000000
25,producers-1,forks-5,20.000000
